from,to,combined_score
9606.ENSP00000160827,9606.ENSP00000216911,802.0
9606.ENSP00000162749,9606.ENSP00000220751,706.0
9606.ENSP00000162749,9606.ENSP00000245817,714.0
9606.ENSP00000162749,9606.ENSP00000225831,768.0
9606.ENSP00000162749,9606.ENSP00000216797,809.0
9606.ENSP00000162749,9606.ENSP00000228918,841.0
9606.ENSP00000162749,9606.ENSP00000226574,848.0
9606.ENSP00000162749,9606.ENSP00000218388,873.0
9606.ENSP00000162749,9606.ENSP00000229135,919.0
9606.ENSP00000162749,9606.ENSP00000241261,993.0
9606.ENSP00000164133,9606.ENSP00000216037,750.0
9606.ENSP00000164133,9606.ENSP00000221138,966.0
9606.ENSP00000164139,9606.ENSP00000216392,955.0
9606.ENSP00000164139,9606.ENSP00000216962,959.0
9606.ENSP00000164227,9606.ENSP00000216797,904.0
9606.ENSP00000164227,9606.ENSP00000221452,959.0
9606.ENSP00000164227,9606.ENSP00000226574,999.0
9606.ENSP00000166139,9606.ENSP00000242208,989.0
9606.ENSP00000166345,9606.ENSP00000216024,705.0
9606.ENSP00000166345,9606.ENSP00000216911,771.0
9606.ENSP00000168216,9606.ENSP00000220592,902.0
9606.ENSP00000168216,9606.ENSP00000231887,965.0
9606.ENSP00000171887,9606.ENSP00000211998,808.0
9606.ENSP00000173898,9606.ENSP00000230340,999.0
9606.ENSP00000184266,9606.ENSP00000229379,761.0
9606.ENSP00000184266,9606.ENSP00000203407,967.0
9606.ENSP00000184266,9606.ENSP00000215565,999.0
9606.ENSP00000184266,9606.ENSP00000233627,999.0
9606.ENSP00000196061,9606.ENSP00000236040,742.0
9606.ENSP00000196061,9606.ENSP00000231004,780.0
9606.ENSP00000196061,9606.ENSP00000225964,818.0
9606.ENSP00000196061,9606.ENSP00000223127,965.0
9606.ENSP00000200181,9606.ENSP00000222693,706.0
9606.ENSP00000200181,9606.ENSP00000245932,707.0
9606.ENSP00000200181,9606.ENSP00000225964,756.0
9606.ENSP00000200181,9606.ENSP00000222573,762.0
9606.ENSP00000200181,9606.ENSP00000230538,919.0
9606.ENSP00000200453,9606.ENSP00000239223,746.0
9606.ENSP00000201586,9606.ENSP00000217961,940.0
9606.ENSP00000203407,9606.ENSP00000245206,718.0
9606.ENSP00000203407,9606.ENSP00000225665,725.0
9606.ENSP00000203407,9606.ENSP00000205402,831.0
9606.ENSP00000203407,9606.ENSP00000216254,855.0
9606.ENSP00000203407,9606.ENSP00000215375,968.0
9606.ENSP00000203407,9606.ENSP00000229379,989.0
9606.ENSP00000203407,9606.ENSP00000215565,991.0
9606.ENSP00000203407,9606.ENSP00000233627,997.0
9606.ENSP00000205402,9606.ENSP00000216254,751.0
9606.ENSP00000205402,9606.ENSP00000217901,889.0
9606.ENSP00000205402,9606.ENSP00000227868,999.0
9606.ENSP00000209728,9606.ENSP00000223129,712.0
9606.ENSP00000209728,9606.ENSP00000216911,761.0
9606.ENSP00000209728,9606.ENSP00000216122,999.0
9606.ENSP00000209728,9606.ENSP00000219097,999.0
9606.ENSP00000209728,9606.ENSP00000234296,999.0
9606.ENSP00000209873,9606.ENSP00000229179,980.0
9606.ENSP00000210060,9606.ENSP00000234111,745.0
9606.ENSP00000211287,9606.ENSP00000232564,737.0
9606.ENSP00000211287,9606.ENSP00000245919,776.0
9606.ENSP00000211287,9606.ENSP00000240100,784.0
9606.ENSP00000211287,9606.ENSP00000215832,907.0
9606.ENSP00000211287,9606.ENSP00000215659,915.0
9606.ENSP00000211287,9606.ENSP00000226004,927.0
9606.ENSP00000211287,9606.ENSP00000245960,927.0
9606.ENSP00000211287,9606.ENSP00000239223,955.0
9606.ENSP00000211998,9606.ENSP00000215832,786.0
9606.ENSP00000211998,9606.ENSP00000220003,826.0
9606.ENSP00000211998,9606.ENSP00000225655,978.0
9606.ENSP00000211998,9606.ENSP00000223023,984.0
9606.ENSP00000211998,9606.ENSP00000245932,999.0
9606.ENSP00000211998,9606.ENSP00000240123,999.0
9606.ENSP00000212015,9606.ENSP00000229595,719.0
9606.ENSP00000212015,9606.ENSP00000227507,721.0
9606.ENSP00000212015,9606.ENSP00000216117,733.0
9606.ENSP00000212015,9606.ENSP00000216714,797.0
9606.ENSP00000212015,9606.ENSP00000219476,843.0
9606.ENSP00000212015,9606.ENSP00000230792,911.0
9606.ENSP00000212015,9606.ENSP00000245919,920.0
9606.ENSP00000212015,9606.ENSP00000226279,943.0
9606.ENSP00000212015,9606.ENSP00000225916,943.0
9606.ENSP00000212015,9606.ENSP00000226574,983.0
9606.ENSP00000212015,9606.ENSP00000222553,993.0
9606.ENSP00000212355,9606.ENSP00000243786,904.0
9606.ENSP00000212355,9606.ENSP00000241416,957.0
9606.ENSP00000212355,9606.ENSP00000238682,993.0
9606.ENSP00000212355,9606.ENSP00000221930,997.0
9606.ENSP00000215071,9606.ENSP00000216455,999.0
9606.ENSP00000215071,9606.ENSP00000219313,999.0
9606.ENSP00000215375,9606.ENSP00000229379,808.0
9606.ENSP00000215375,9606.ENSP00000234396,910.0
9606.ENSP00000215375,9606.ENSP00000216442,931.0
9606.ENSP00000215375,9606.ENSP00000215565,970.0
9606.ENSP00000215375,9606.ENSP00000233627,992.0
9606.ENSP00000215375,9606.ENSP00000243997,999.0
9606.ENSP00000215565,9606.ENSP00000229379,745.0
9606.ENSP00000215565,9606.ENSP00000233627,999.0
9606.ENSP00000215570,9606.ENSP00000216034,861.0
9606.ENSP00000215574,9606.ENSP00000216797,751.0
9606.ENSP00000215574,9606.ENSP00000231487,998.0
9606.ENSP00000215574,9606.ENSP00000216225,999.0
9606.ENSP00000215659,9606.ENSP00000232564,737.0
9606.ENSP00000215659,9606.ENSP00000245919,776.0
9606.ENSP00000215659,9606.ENSP00000240100,798.0
9606.ENSP00000215659,9606.ENSP00000215832,927.0
9606.ENSP00000215659,9606.ENSP00000226004,930.0
9606.ENSP00000215659,9606.ENSP00000245960,931.0
9606.ENSP00000215659,9606.ENSP00000239223,972.0
9606.ENSP00000215781,9606.ENSP00000227752,763.0
9606.ENSP00000215781,9606.ENSP00000222139,823.0
9606.ENSP00000215781,9606.ENSP00000222390,864.0
9606.ENSP00000215793,9606.ENSP00000244020,703.0
9606.ENSP00000215793,9606.ENSP00000243563,957.0
9606.ENSP00000215793,9606.ENSP00000215829,995.0
9606.ENSP00000215793,9606.ENSP00000216252,998.0
9606.ENSP00000215793,9606.ENSP00000246071,998.0
9606.ENSP00000215794,9606.ENSP00000245414,718.0
9606.ENSP00000215794,9606.ENSP00000233057,875.0
9606.ENSP00000215794,9606.ENSP00000228928,910.0
9606.ENSP00000215829,9606.ENSP00000219252,707.0
9606.ENSP00000215829,9606.ENSP00000240185,832.0
9606.ENSP00000215829,9606.ENSP00000245934,849.0
9606.ENSP00000215829,9606.ENSP00000216252,995.0
9606.ENSP00000215829,9606.ENSP00000243563,999.0
9606.ENSP00000215829,9606.ENSP00000246071,999.0
9606.ENSP00000215832,9606.ENSP00000232564,750.0
9606.ENSP00000215832,9606.ENSP00000244007,769.0
9606.ENSP00000215832,9606.ENSP00000226574,790.0
9606.ENSP00000215832,9606.ENSP00000228872,858.0
9606.ENSP00000215832,9606.ENSP00000240100,931.0
9606.ENSP00000215832,9606.ENSP00000239938,946.0
9606.ENSP00000215832,9606.ENSP00000219476,952.0
9606.ENSP00000215832,9606.ENSP00000221138,954.0
9606.ENSP00000215832,9606.ENSP00000226004,979.0
9606.ENSP00000215832,9606.ENSP00000229795,995.0
9606.ENSP00000215832,9606.ENSP00000239223,996.0
9606.ENSP00000215838,9606.ENSP00000223836,718.0
9606.ENSP00000215838,9606.ENSP00000231751,840.0
9606.ENSP00000216024,9606.ENSP00000231790,753.0
9606.ENSP00000216034,9606.ENSP00000228318,712.0
9606.ENSP00000216037,9606.ENSP00000222803,771.0
9606.ENSP00000216037,9606.ENSP00000230050,800.0
9606.ENSP00000216037,9606.ENSP00000244763,828.0
9606.ENSP00000216037,9606.ENSP00000233057,843.0
9606.ENSP00000216037,9606.ENSP00000226760,891.0
9606.ENSP00000216037,9606.ENSP00000243253,912.0
9606.ENSP00000216117,9606.ENSP00000221130,761.0
9606.ENSP00000216122,9606.ENSP00000216225,836.0
9606.ENSP00000216122,9606.ENSP00000219097,975.0
9606.ENSP00000216122,9606.ENSP00000234296,999.0
9606.ENSP00000216181,9606.ENSP00000223364,789.0
9606.ENSP00000216181,9606.ENSP00000224784,953.0
9606.ENSP00000216190,9606.ENSP00000232905,892.0
9606.ENSP00000216190,9606.ENSP00000219313,947.0
9606.ENSP00000216190,9606.ENSP00000230050,979.0
9606.ENSP00000216190,9606.ENSP00000216554,997.0
9606.ENSP00000216223,9606.ENSP00000246657,728.0
9606.ENSP00000216223,9606.ENSP00000228434,732.0
9606.ENSP00000216223,9606.ENSP00000227752,759.0
9606.ENSP00000216223,9606.ENSP00000216341,907.0
9606.ENSP00000216223,9606.ENSP00000229135,934.0
9606.ENSP00000216225,9606.ENSP00000219252,909.0
9606.ENSP00000216225,9606.ENSP00000221859,911.0
9606.ENSP00000216225,9606.ENSP00000229758,940.0
9606.ENSP00000216225,9606.ENSP00000216797,987.0
9606.ENSP00000216225,9606.ENSP00000228872,989.0
9606.ENSP00000216225,9606.ENSP00000231487,999.0
9606.ENSP00000216252,9606.ENSP00000243563,976.0
9606.ENSP00000216252,9606.ENSP00000246071,999.0
9606.ENSP00000216254,9606.ENSP00000245206,753.0
9606.ENSP00000216254,9606.ENSP00000229270,799.0
9606.ENSP00000216254,9606.ENSP00000217901,994.0
9606.ENSP00000216286,9606.ENSP00000230538,896.0
9606.ENSP00000216341,9606.ENSP00000227266,718.0
9606.ENSP00000216341,9606.ENSP00000226279,786.0
9606.ENSP00000216341,9606.ENSP00000246657,803.0
9606.ENSP00000216341,9606.ENSP00000228434,838.0
9606.ENSP00000216341,9606.ENSP00000229135,956.0
9606.ENSP00000216341,9606.ENSP00000242465,964.0
9606.ENSP00000216392,9606.ENSP00000237642,728.0
9606.ENSP00000216392,9606.ENSP00000216962,984.0
9606.ENSP00000216442,9606.ENSP00000234396,999.0
9606.ENSP00000216455,9606.ENSP00000216802,992.0
9606.ENSP00000216455,9606.ENSP00000219313,999.0
9606.ENSP00000216554,9606.ENSP00000232905,897.0
9606.ENSP00000216554,9606.ENSP00000230050,909.0
9606.ENSP00000216714,9606.ENSP00000219431,892.0
9606.ENSP00000216714,9606.ENSP00000242576,963.0
9606.ENSP00000216714,9606.ENSP00000219066,994.0
9606.ENSP00000216797,9606.ENSP00000229135,714.0
9606.ENSP00000216797,9606.ENSP00000225831,754.0
9606.ENSP00000216797,9606.ENSP00000229795,829.0
9606.ENSP00000216797,9606.ENSP00000218348,922.0
9606.ENSP00000216797,9606.ENSP00000221452,995.0
9606.ENSP00000216797,9606.ENSP00000231487,999.0
9606.ENSP00000216797,9606.ENSP00000226574,999.0
9606.ENSP00000216802,9606.ENSP00000245414,755.0
9606.ENSP00000216802,9606.ENSP00000219313,845.0
9606.ENSP00000216802,9606.ENSP00000229135,960.0
9606.ENSP00000216911,9606.ENSP00000228872,740.0
9606.ENSP00000216911,9606.ENSP00000226574,794.0
9606.ENSP00000216911,9606.ENSP00000240423,814.0
9606.ENSP00000216911,9606.ENSP00000217026,840.0
9606.ENSP00000216962,9606.ENSP00000237642,781.0
9606.ENSP00000216968,9606.ENSP00000233156,860.0
9606.ENSP00000216968,9606.ENSP00000234071,996.0
9606.ENSP00000217026,9606.ENSP00000227507,702.0
9606.ENSP00000217026,9606.ENSP00000240423,716.0
9606.ENSP00000217131,9606.ENSP00000236671,766.0
9606.ENSP00000217131,9606.ENSP00000243997,831.0
9606.ENSP00000217386,9606.ENSP00000226279,706.0
9606.ENSP00000217455,9606.ENSP00000238651,957.0
9606.ENSP00000217901,9606.ENSP00000245206,886.0
9606.ENSP00000217971,9606.ENSP00000226230,985.0
9606.ENSP00000218104,9606.ENSP00000241041,777.0
9606.ENSP00000218388,9606.ENSP00000226574,704.0
9606.ENSP00000218388,9606.ENSP00000222390,745.0
9606.ENSP00000218388,9606.ENSP00000229135,760.0
9606.ENSP00000218388,9606.ENSP00000223095,840.0
9606.ENSP00000218388,9606.ENSP00000225964,842.0
9606.ENSP00000218388,9606.ENSP00000225831,867.0
9606.ENSP00000218388,9606.ENSP00000221930,882.0
9606.ENSP00000218388,9606.ENSP00000219070,997.0
9606.ENSP00000218758,9606.ENSP00000230792,749.0
9606.ENSP00000218867,9606.ENSP00000242729,989.0
9606.ENSP00000219066,9606.ENSP00000232607,723.0
9606.ENSP00000219066,9606.ENSP00000233146,723.0
9606.ENSP00000219066,9606.ENSP00000231790,779.0
9606.ENSP00000219066,9606.ENSP00000219431,806.0
9606.ENSP00000219066,9606.ENSP00000242576,815.0
9606.ENSP00000219070,9606.ENSP00000231061,701.0
9606.ENSP00000219070,9606.ENSP00000225831,704.0
9606.ENSP00000219070,9606.ENSP00000231004,730.0
9606.ENSP00000219070,9606.ENSP00000227507,738.0
9606.ENSP00000219070,9606.ENSP00000223095,755.0
9606.ENSP00000219070,9606.ENSP00000222390,760.0
9606.ENSP00000219070,9606.ENSP00000225964,828.0
9606.ENSP00000219070,9606.ENSP00000230990,939.0
9606.ENSP00000219070,9606.ENSP00000221930,962.0
9606.ENSP00000219097,9606.ENSP00000223129,754.0
9606.ENSP00000219097,9606.ENSP00000234296,999.0
9606.ENSP00000219235,9606.ENSP00000229135,765.0
9606.ENSP00000219235,9606.ENSP00000225831,914.0
9606.ENSP00000219235,9606.ENSP00000219244,964.0
9606.ENSP00000219235,9606.ENSP00000246657,984.0
9606.ENSP00000219244,9606.ENSP00000225831,750.0
9606.ENSP00000219244,9606.ENSP00000229135,764.0
9606.ENSP00000219244,9606.ENSP00000246657,932.0
9606.ENSP00000219252,9606.ENSP00000243253,791.0
9606.ENSP00000219252,9606.ENSP00000221859,999.0
9606.ENSP00000219271,9606.ENSP00000230990,920.0
9606.ENSP00000219302,9606.ENSP00000223836,809.0
9606.ENSP00000219302,9606.ENSP00000219479,949.0
9606.ENSP00000219431,9606.ENSP00000242576,745.0
9606.ENSP00000219476,9606.ENSP00000227507,779.0
9606.ENSP00000219476,9606.ENSP00000228872,840.0
9606.ENSP00000219479,9606.ENSP00000223836,803.0
9606.ENSP00000220166,9606.ENSP00000236671,846.0
9606.ENSP00000220592,9606.ENSP00000227507,728.0
9606.ENSP00000220751,9606.ENSP00000226574,767.0
9606.ENSP00000220751,9606.ENSP00000229795,802.0
9606.ENSP00000220751,9606.ENSP00000222823,999.0
9606.ENSP00000220772,9606.ENSP00000233948,918.0
9606.ENSP00000220809,9606.ENSP00000233156,788.0
9606.ENSP00000220809,9606.ENSP00000243077,987.0
9606.ENSP00000220809,9606.ENSP00000223095,999.0
9606.ENSP00000221130,9606.ENSP00000227868,780.0
9606.ENSP00000221130,9606.ENSP00000241337,941.0
9606.ENSP00000221138,9606.ENSP00000226574,918.0
9606.ENSP00000221138,9606.ENSP00000234310,918.0
9606.ENSP00000221233,9606.ENSP00000244230,721.0
9606.ENSP00000221233,9606.ENSP00000221801,789.0
9606.ENSP00000221233,9606.ENSP00000230340,828.0
9606.ENSP00000221233,9606.ENSP00000232888,848.0
9606.ENSP00000221233,9606.ENSP00000230640,999.0
9606.ENSP00000221452,9606.ENSP00000228918,875.0
9606.ENSP00000221452,9606.ENSP00000226574,999.0
9606.ENSP00000221480,9606.ENSP00000241041,728.0
9606.ENSP00000221496,9606.ENSP00000245479,920.0
9606.ENSP00000221515,9606.ENSP00000225831,712.0
9606.ENSP00000221515,9606.ENSP00000223095,774.0
9606.ENSP00000221515,9606.ENSP00000222553,916.0
9606.ENSP00000221801,9606.ENSP00000225698,773.0
9606.ENSP00000221801,9606.ENSP00000230640,856.0
9606.ENSP00000221801,9606.ENSP00000230050,941.0
9606.ENSP00000221801,9606.ENSP00000240316,947.0
9606.ENSP00000221801,9606.ENSP00000230340,995.0
9606.ENSP00000221801,9606.ENSP00000244230,998.0
9606.ENSP00000221801,9606.ENSP00000232888,999.0
9606.ENSP00000221930,9606.ENSP00000224784,705.0
9606.ENSP00000221930,9606.ENSP00000226574,711.0
9606.ENSP00000221930,9606.ENSP00000231061,722.0
9606.ENSP00000221930,9606.ENSP00000223095,798.0
9606.ENSP00000221930,9606.ENSP00000225964,802.0
9606.ENSP00000221930,9606.ENSP00000241416,812.0
9606.ENSP00000221930,9606.ENSP00000225831,851.0
9606.ENSP00000221930,9606.ENSP00000229135,888.0
9606.ENSP00000221930,9606.ENSP00000242208,920.0
9606.ENSP00000221930,9606.ENSP00000222390,921.0
9606.ENSP00000221930,9606.ENSP00000222573,983.0
9606.ENSP00000221930,9606.ENSP00000238682,988.0
9606.ENSP00000221972,9606.ENSP00000226279,825.0
9606.ENSP00000222139,9606.ENSP00000229135,738.0
9606.ENSP00000222390,9606.ENSP00000230990,708.0
9606.ENSP00000222390,9606.ENSP00000229135,716.0
9606.ENSP00000222390,9606.ENSP00000223095,832.0
9606.ENSP00000222547,9606.ENSP00000236192,868.0
9606.ENSP00000222547,9606.ENSP00000223369,998.0
9606.ENSP00000222553,9606.ENSP00000245552,904.0
9606.ENSP00000222553,9606.ENSP00000230792,908.0
9606.ENSP00000222553,9606.ENSP00000226279,955.0
9606.ENSP00000222573,9606.ENSP00000238682,809.0
9606.ENSP00000222573,9606.ENSP00000230538,828.0
9606.ENSP00000222573,9606.ENSP00000225964,832.0
9606.ENSP00000222823,9606.ENSP00000226574,727.0
9606.ENSP00000223023,9606.ENSP00000245932,869.0
9606.ENSP00000223023,9606.ENSP00000233154,959.0
9606.ENSP00000223023,9606.ENSP00000225655,965.0
9606.ENSP00000223023,9606.ENSP00000228825,998.0
9606.ENSP00000223029,9606.ENSP00000231572,998.0
9606.ENSP00000223061,9606.ENSP00000225964,813.0
9606.ENSP00000223095,9606.ENSP00000233156,718.0
9606.ENSP00000223095,9606.ENSP00000229135,720.0
9606.ENSP00000223095,9606.ENSP00000233813,737.0
9606.ENSP00000223095,9606.ENSP00000225831,918.0
9606.ENSP00000223095,9606.ENSP00000234071,943.0
9606.ENSP00000223095,9606.ENSP00000243077,988.0
9606.ENSP00000223127,9606.ENSP00000225964,710.0
9606.ENSP00000223129,9606.ENSP00000233146,729.0
9606.ENSP00000223136,9606.ENSP00000241041,781.0
9606.ENSP00000223364,9606.ENSP00000224784,724.0
9606.ENSP00000223369,9606.ENSP00000225655,774.0
9606.ENSP00000223369,9606.ENSP00000236192,890.0
9606.ENSP00000223398,9606.ENSP00000233121,788.0
9606.ENSP00000223642,9606.ENSP00000225174,901.0
9606.ENSP00000223642,9606.ENSP00000245907,974.0
9606.ENSP00000223836,9606.ENSP00000245552,711.0
9606.ENSP00000224073,9606.ENSP00000230050,950.0
9606.ENSP00000224356,9606.ENSP00000232219,719.0
9606.ENSP00000224356,9606.ENSP00000231572,853.0
9606.ENSP00000224784,9606.ENSP00000225964,928.0
9606.ENSP00000225614,9606.ENSP00000245552,747.0
9606.ENSP00000225614,9606.ENSP00000228510,829.0
9606.ENSP00000225655,9606.ENSP00000245932,999.0
9606.ENSP00000225831,9606.ENSP00000231004,710.0
9606.ENSP00000225831,9606.ENSP00000243347,732.0
9606.ENSP00000225831,9606.ENSP00000245907,737.0
9606.ENSP00000225831,9606.ENSP00000245414,786.0
9606.ENSP00000225831,9606.ENSP00000225844,842.0
9606.ENSP00000225831,9606.ENSP00000229135,938.0
9606.ENSP00000225831,9606.ENSP00000246657,965.0
9606.ENSP00000225831,9606.ENSP00000226574,982.0
9606.ENSP00000225844,9606.ENSP00000246657,862.0
9606.ENSP00000225916,9606.ENSP00000225983,729.0
9606.ENSP00000225964,9606.ENSP00000245479,715.0
9606.ENSP00000225964,9606.ENSP00000238682,719.0
9606.ENSP00000225964,9606.ENSP00000231004,808.0
9606.ENSP00000225964,9606.ENSP00000236040,945.0
9606.ENSP00000225964,9606.ENSP00000231061,968.0
9606.ENSP00000226004,9606.ENSP00000229795,936.0
9606.ENSP00000226279,9606.ENSP00000229135,779.0
9606.ENSP00000226279,9606.ENSP00000228434,815.0
9606.ENSP00000226279,9606.ENSP00000246657,884.0
9606.ENSP00000226279,9606.ENSP00000230792,904.0
9606.ENSP00000226299,9606.ENSP00000245206,888.0
9606.ENSP00000226574,9606.ENSP00000245414,709.0
9606.ENSP00000226574,9606.ENSP00000229795,864.0
9606.ENSP00000226574,9606.ENSP00000231509,878.0
9606.ENSP00000226574,9606.ENSP00000229135,932.0
9606.ENSP00000227163,9606.ENSP00000234091,713.0
9606.ENSP00000227163,9606.ENSP00000245414,974.0
9606.ENSP00000227266,9606.ENSP00000236671,713.0
9606.ENSP00000227507,9606.ENSP00000245960,707.0
9606.ENSP00000227507,9606.ENSP00000245934,921.0
9606.ENSP00000227507,9606.ENSP00000231487,968.0
9606.ENSP00000227507,9606.ENSP00000228872,999.0
9606.ENSP00000227752,9606.ENSP00000228534,786.0
9606.ENSP00000227752,9606.ENSP00000229135,912.0
9606.ENSP00000228434,9606.ENSP00000231009,743.0
9606.ENSP00000228434,9606.ENSP00000246657,905.0
9606.ENSP00000228434,9606.ENSP00000229135,912.0
9606.ENSP00000228534,9606.ENSP00000229135,730.0
9606.ENSP00000228843,9606.ENSP00000244040,845.0
9606.ENSP00000228872,9606.ENSP00000231487,994.0
9606.ENSP00000228928,9606.ENSP00000233057,959.0
9606.ENSP00000229135,9606.ENSP00000229795,769.0
9606.ENSP00000229135,9606.ENSP00000233057,775.0
9606.ENSP00000229135,9606.ENSP00000246657,841.0
9606.ENSP00000229135,9606.ENSP00000245414,917.0
9606.ENSP00000229179,9606.ENSP00000245206,761.0
9606.ENSP00000229195,9606.ENSP00000230640,875.0
9606.ENSP00000229266,9606.ENSP00000243501,759.0
9606.ENSP00000229270,9606.ENSP00000233893,761.0
9606.ENSP00000229270,9606.ENSP00000245206,770.0
9606.ENSP00000229379,9606.ENSP00000243997,722.0
9606.ENSP00000229379,9606.ENSP00000233627,759.0
9606.ENSP00000229758,9606.ENSP00000231487,997.0
9606.ENSP00000229795,9606.ENSP00000232564,738.0
9606.ENSP00000229795,9606.ENSP00000245919,781.0
9606.ENSP00000229795,9606.ENSP00000240100,921.0
9606.ENSP00000229795,9606.ENSP00000245960,951.0
